Abl	ABL
Acc	ACC
Aud	AUD
Car	CAR
Cng	CONNEG
Com	COM
Comp	COMP
Conc	CONC
Dat	DAT
Du	DU
Du1	1DU
Du3	3DU
Emph	EMPH
Freq	FREQ
Fut	FUT
Gen	GEN
Gener	GNR
Hort	HORT
Imp	IMP
Inf	INF
Int	INTER
Lim	LIM
Loc	LOC
Moder	MODER
Narr	NARR
Nec	NEC
Neg	NEG
Obl	OBL
Pdst	DESIG
PdstDu3	DESIG.3DU
PdstPl1	DESIG.1PL
PdstSg1	DESIG.1SG
PdstSg3	DESIG.3SG
Pl	PL
Pl1	1PL
Pl2	2PL
Pl3	3PL
Prob	PROB
PtcpIpfv	PTC.IMPF
PtcpPfv	PTC.PF
PxDu1	POSS.1DU
PxDu2	POSS.2DU
PxDu3	POSS.3DU
PxPl1	POSS.1PL
PxPl2	POSS.2PL
PxPl3	POSS.3PL
PxSg1	POSS.1SG
PxSg2	POSS.2SG
RDu1	REFL.1DU
RDu3	REFL.3DU
RPl1	REFL.1PL
RPl3	REFL.3PL
RSg1	REFL.1SG
RSg2	REFL.2SG
RSg3	REFL.3SG
ScDu1	SUBJ.1DU
ScDu2	SUBJ.2DU
ScDu3	SUBJ.3DU
ScPl1	SUBJ.1PL
ScPl3	SUBJ.3PL
ScSg1	SUBJ.1SG
ScSg2	SUBJ.2SG
Sg1	1SG
Sg2	2SG
Sg3	3SG
Sim	SIM
Abs	ABS
Conj	CONJ
Ger	GER
pers	PERS
Pol	POL
Prec	PREC
Pros	PROS
Sup	SUP
Tra	TR
PxSg3	POSS.3SG
Px3Sg	POSS.3SG
ScSg3	SUBJ.3SG
ScSgl3	SUBJ.3SG
ScPl2	SUBJ.2PL
Sc2Pl	SUBJ.2PL
Refl	REFL
Ref	REFL
Pst	PST
Prt1	PST
